zip_code,year,kid_count,ebll6_kid_count,ebll6_kid_prop
60601,2010,,,
60601,2011,,,
60601,2012,,,
60601,2013,,,
60601,2014,,,
60601,2015,,,
60602,2010,,,
60602,2011,,,
60602,2012,,,
60602,2013,,,
60602,2014,,,
60602,2015,,,
60603,2010,,,
60603,2011,,,
60603,2012,,,
60603,2013,,,
60603,2014,,,
60603,2015,,,
60604,2010,,,
60604,2011,,,
60604,2012,,,
60604,2013,,,
60604,2014,,,
60604,2015,,,
60605,2010,,,
60605,2011,,,
60605,2012,,,
60605,2013,,,
60605,2014,,,
60605,2015,,,
60606,2010,,,
60606,2011,,,
60606,2012,,,
60606,2013,,,
60606,2014,,,
60606,2015,,,
60607,2010,316,8,0.03
60607,2011,376,6,0.02
60607,2012,409,6,0.01
60607,2013,,,
60607,2014,,,
60607,2015,,,
60608,2010,3208,161,0.05
60608,2011,3560,142,0.04
60608,2012,3384,104,0.03
60608,2013,3202,74,0.02
60608,2014,2970,57,0.02
60608,2015,2547,53,0.02
60609,2010,3366,291,0.09
60609,2011,3582,192,0.05
60609,2012,3604,244,0.07
60609,2013,3186,172,0.05
60609,2014,2937,127,0.04
60609,2015,2526,80,0.03
60610,2010,567,10,0.02
60610,2011,,,
60610,2012,497,8,0.02
60610,2013,,,
60610,2014,500,8,0.02
60610,2015,421,8,0.02
60611,2010,,,
60611,2011,,,
60611,2012,,,
60611,2013,,,
60611,2014,,,
60611,2015,,,
60612,2010,1158,60,0.05
60612,2011,1287,57,0.04
60612,2012,1279,52,0.04
60612,2013,1189,42,0.04
60612,2014,1225,41,0.03
60612,2015,1015,22,0.02
60613,2010,486,11,0.02
60613,2011,477,6,0.01
60613,2012,561,8,0.01
60613,2013,,,
60613,2014,,,
60613,2015,,,
60614,2010,597,8,0.01
60614,2011,,,
60614,2012,576,6,0.01
60614,2013,,,
60614,2014,,,
60614,2015,,,
60615,2010,850,24,0.03
60615,2011,935,27,0.03
60615,2012,966,28,0.03
60615,2013,997,26,0.03
60615,2014,847,11,0.01
60615,2015,689,7,0.01
60616,2010,906,17,0.02
60616,2011,1089,22,0.02
60616,2012,1164,19,0.02
60616,2013,1246,14,0.01
60616,2014,1194,7,0.01
60616,2015,1182,7,0.01
60617,2010,2536,151,0.06
60617,2011,2512,119,0.05
60617,2012,2564,116,0.05
60617,2013,2516,86,0.03
60617,2014,2432,84,0.03
60617,2015,2178,61,0.03
60618,2010,2619,84,0.03
60618,2011,2654,80,0.03
60618,2012,2778,58,0.02
60618,2013,2619,50,0.02
60618,2014,2472,45,0.02
60618,2015,2567,52,0.02
60619,2010,1920,119,0.06
60619,2011,1872,82,0.04
60619,2012,2158,104,0.05
60619,2013,2019,70,0.03
60619,2014,1854,55,0.03
60619,2015,1635,45,0.03
60620,2010,2235,156,0.07
60620,2011,2082,119,0.06
60620,2012,2235,122,0.05
60620,2013,2226,105,0.05
60620,2014,2086,80,0.04
60620,2015,1926,65,0.03
60621,2010,1667,161,0.10
60621,2011,1409,164,0.12
60621,2012,1665,157,0.09
60621,2013,1718,110,0.06
60621,2014,1651,110,0.07
60621,2015,1505,71,0.05
60622,2010,1096,26,0.02
60622,2011,1087,22,0.02
60622,2012,1109,18,0.02
60622,2013,1082,16,0.01
60622,2014,1050,20,0.02
60622,2015,1105,22,0.02
60623,2010,6675,440,0.07
60623,2011,6489,363,0.06
60623,2012,6242,317,0.05
60623,2013,6092,242,0.04
60623,2014,5738,235,0.04
60623,2015,5565,205,0.04
60624,2010,1720,119,0.07
60624,2011,1849,116,0.06
60624,2012,1925,125,0.06
60624,2013,1868,86,0.05
60624,2014,1890,98,0.05
60624,2015,1642,77,0.05
60625,2010,2256,67,0.03
60625,2011,2303,60,0.03
60625,2012,2256,58,0.03
60625,2013,2347,41,0.02
60625,2014,2233,43,0.02
60625,2015,2266,37,0.02
60626,2010,1470,38,0.03
60626,2011,1353,33,0.02
60626,2012,1444,34,0.02
60626,2013,1358,32,0.02
60626,2014,1309,26,0.02
60626,2015,1158,16,0.01
60628,2010,2240,182,0.08
60628,2011,2097,167,0.08
60628,2012,2326,162,0.07
60628,2013,2142,120,0.06
60628,2014,1906,88,0.05
60628,2015,1851,82,0.04
60629,2010,6205,289,0.05
60629,2011,6498,234,0.04
60629,2012,6439,213,0.03
60629,2013,6325,169,0.03
60629,2014,5757,157,0.03
60629,2015,5356,116,0.02
60630,2010,1130,23,0.02
60630,2011,1082,35,0.03
60630,2012,1131,19,0.02
60630,2013,1115,23,0.02
60630,2014,1041,17,0.02
60630,2015,1089,27,0.02
60631,2010,,,
60631,2011,,,
60631,2012,,,
60631,2013,,,
60631,2014,272,6,0.02
60631,2015,,,
60632,2010,5290,243,0.05
60632,2011,5674,213,0.04
60632,2012,5485,219,0.04
60632,2013,5206,150,0.03
60632,2014,4715,114,0.02
60632,2015,4142,92,0.02
60633,2010,194,7,0.04
60633,2011,202,7,0.03
60633,2012,,,
60633,2013,185,7,0.04
60633,2014,,,
60633,2015,,,
60634,2010,1670,29,0.02
60634,2011,1570,28,0.02
60634,2012,1515,11,0.01
60634,2013,1619,18,0.01
60634,2014,1480,11,0.01
60634,2015,1450,17,0.01
60636,2010,1720,177,0.10
60636,2011,1571,140,0.09
60636,2012,1802,154,0.09
60636,2013,1838,106,0.06
60636,2014,1788,100,0.06
60636,2015,1680,82,0.05
60637,2010,1756,108,0.06
60637,2011,1844,91,0.05
60637,2012,2059,124,0.06
60637,2013,2030,77,0.04
60637,2014,1825,41,0.02
60637,2015,1551,44,0.03
60638,2010,1119,17,0.02
60638,2011,1248,23,0.02
60638,2012,1232,12,0.01
60638,2013,1157,8,0.01
60638,2014,1096,10,0.01
60638,2015,1095,9,0.01
60639,2010,4242,165,0.04
60639,2011,4074,128,0.03
60639,2012,4303,112,0.03
60639,2013,4136,92,0.02
60639,2014,3917,103,0.03
60639,2015,3916,91,0.02
60640,2010,1313,41,0.03
60640,2011,1246,28,0.02
60640,2012,1188,26,0.02
60640,2013,1216,23,0.02
60640,2014,1184,24,0.02
60640,2015,1162,14,0.01
60641,2010,2211,70,0.03
60641,2011,2075,49,0.02
60641,2012,2083,49,0.02
60641,2013,2034,36,0.02
60641,2014,1973,33,0.02
60641,2015,1996,36,0.02
60642,2010,208,8,0.04
60642,2011,423,10,0.02
60642,2012,,,
60642,2013,,,
60642,2014,,,
60642,2015,,,
60643,2010,1075,37,0.03
60643,2011,964,41,0.04
60643,2012,1002,44,0.04
60643,2013,971,29,0.03
60643,2014,892,18,0.02
60643,2015,804,14,0.02
60644,2010,2303,192,0.08
60644,2011,2264,178,0.08
60644,2012,2429,150,0.06
60644,2013,2373,125,0.05
60644,2014,2200,132,0.06
60644,2015,2163,99,0.05
60645,2010,1288,36,0.03
60645,2011,1268,35,0.03
60645,2012,1333,36,0.03
60645,2013,1245,33,0.03
60645,2014,1242,49,0.04
60645,2015,1155,21,0.02
60646,2010,359,9,0.03
60646,2011,,,
60646,2012,,,
60646,2013,,,
60646,2014,,,
60646,2015,,,
60647,2010,2716,109,0.04
60647,2011,2694,98,0.04
60647,2012,2712,89,0.03
60647,2013,2564,55,0.02
60647,2014,2448,52,0.02
60647,2015,2350,47,0.02
60649,2010,1544,76,0.05
60649,2011,1586,76,0.05
60649,2012,1623,63,0.04
60649,2013,1605,47,0.03
60649,2014,1526,44,0.03
60649,2015,1226,28,0.02
60651,2010,3045,265,0.09
60651,2011,3020,208,0.07
60651,2012,3098,208,0.07
60651,2013,2974,142,0.05
60651,2014,2941,128,0.04
60651,2015,2728,119,0.04
60652,2010,1261,22,0.02
60652,2011,1334,18,0.01
60652,2012,1304,25,0.02
60652,2013,1299,22,0.02
60652,2014,1193,15,0.01
60652,2015,1053,12,0.01
60653,2010,1024,39,0.04
60653,2011,1100,32,0.03
60653,2012,1100,18,0.02
60653,2013,1102,20,0.02
60653,2014,999,13,0.01
60653,2015,931,21,0.02
60654,2010,,,
60654,2011,,,
60654,2012,,,
60654,2013,,,
60654,2014,,,
60654,2015,,,
60655,2010,,,
60655,2011,,,
60655,2012,,,
60655,2013,,,
60655,2014,,,
60655,2015,,,
60656,2010,362,9,0.02
60656,2011,332,9,0.03
60656,2012,,,
60656,2013,,,
60656,2014,343,6,0.02
60656,2015,,,
60657,2010,596,8,0.01
60657,2011,613,11,0.02
60657,2012,645,8,0.01
60657,2013,,,
60657,2014,,,
60657,2015,839,7,0.01
60659,2010,909,44,0.05
60659,2011,1010,38,0.04
60659,2012,864,33,0.04
60659,2013,898,34,0.04
60659,2014,879,30,0.03
60659,2015,939,30,0.03
60660,2010,710,27,0.04
60660,2011,655,15,0.02
60660,2012,581,18,0.03
60660,2013,640,18,0.03
60660,2014,615,13,0.02
60660,2015,608,15,0.02
60661,2010,,,
60661,2011,,,
60661,2012,,,
60661,2013,,,
60661,2014,,,
60661,2015,,,
60666,2014,,,
60666,2015,,,
60707,2010,458,14,0.03
60707,2011,416,8,0.02
60707,2012,400,11,0.03
60707,2013,418,7,0.02
60707,2014,,,
60707,2015,,,
60827,2010,,,
60827,2011,,,
60827,2012,,,
60827,2013,,,
60827,2014,,,
60827,2015,,,
